age,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,admin,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown
35,1,5,0,1,0,1,4,3,992,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
59,1,0,0,1,0,1,6,2,107,1,999,0,0,-3.4,92.379,-29.8,0.778,5017.5,0,0,0,0,1,0,0,0,0,0,0,0
25,2,5,0,0,0,1,4,2,67,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
53,1,4,0,1,0,1,5,1,136,2,999,0,0,1.4,93.444,-36.1,4.97,5228.1,0,0,0,0,0,0,0,1,0,0,0,0
55,0,6,0,0,0,1,0,3,212,3,6,3,1,-1.8,93.369,-34.8,0.652,5008.7,0,0,0,0,0,0,0,0,0,0,1,0
50,2,6,0,1,0,1,4,3,89,2,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
40,1,5,0,1,0,0,2,2,299,1,999,0,0,1.1,93.994,-36.4,4.86,5191,1,0,0,0,0,0,0,0,0,0,0,0
32,2,6,0,1,0,0,8,2,47,1,999,1,0,-0.1,93.2,-42,4.076,5195.8,0,0,0,0,0,0,0,0,0,1,0,0
32,1,5,0,1,0,1,8,2,640,1,999,0,0,-0.1,93.2,-42,4.076,5195.8,0,0,0,0,0,0,0,0,0,0,1,0
68,1,2,0,0,0,0,6,3,201,1,999,1,0,-3.4,92.379,-29.8,0.788,5017.5,0,0,0,0,0,1,0,0,0,0,0,0
30,1,6,0,1,0,0,2,4,72,3,999,0,0,1.1,93.994,-36.4,4.858,5191,0,0,0,0,0,0,0,0,0,1,0,0
41,0,5,0,0,0,0,2,0,556,1,999,0,0,1.1,93.994,-36.4,4.864,5191,1,0,0,0,0,0,0,0,0,0,0,0
37,0,6,0,1,0,0,3,1,683,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
32,2,6,0,1,1,1,8,0,1162,2,999,0,0,-0.1,93.2,-42,4.021,5195.8,0,0,0,0,0,0,0,0,0,1,0,0
30,2,7,0,1,0,1,1,0,346,2,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0,0,0,0,0,0,0,1,0,0
30,0,6,0,0,0,1,8,3,464,1,999,0,0,-0.1,93.2,-42,4.153,5195.8,1,0,0,0,0,0,0,0,0,0,0,0
45,0,7,0,1,0,1,4,4,74,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
28,1,4,0,1,1,0,4,3,138,4,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
50,1,7,0,0,0,1,5,3,150,1,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
32,2,0,0,0,1,1,4,2,415,2,999,0,0,-1.7,94.215,-40.3,0.846,4991.6,0,0,0,0,0,0,0,1,0,0,0,0
39,0,2,0,1,0,1,2,3,188,1,999,0,0,-1.8,92.893,-46.2,1.344,5099.1,0,0,0,0,0,1,0,0,0,0,0,0
30,2,5,0,0,0,0,2,1,113,5,999,0,0,1.1,93.994,-36.4,4.857,5191,0,0,0,0,0,0,0,1,0,0,0,0
29,3,7,0,1,0,1,8,2,125,1,999,1,0,-0.1,93.2,-42,4.076,5195.8,1,0,0,0,0,0,0,0,0,0,0,0
35,0,6,0,1,0,1,8,0,226,1,999,0,0,-0.1,93.2,-42,4.021,5195.8,1,0,0,0,0,0,0,0,0,0,0,0
55,1,5,0,0,1,0,2,4,213,1,999,0,0,1.1,93.994,-36.4,4.859,5191,1,0,0,0,0,0,0,0,0,0,0,0
34,2,5,0,0,0,0,2,0,71,5,999,1,0,-1.8,92.893,-46.2,1.25,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
38,1,7,0,1,0,0,2,3,349,1,999,0,0,1.1,93.994,-36.4,4.857,5191,0,0,0,0,0,0,0,0,0,1,0,0
70,1,2,0,1,0,1,0,1,61,6,999,1,0,-1.8,92.843,-50,1.629,5099.1,0,0,0,0,0,1,0,0,0,0,0,0
25,2,4,0,0,0,0,2,2,56,1,999,0,0,1.1,93.994,-36.4,4.86,5191,0,1,0,0,0,0,0,0,0,0,0,0
41,1,5,0,1,1,1,1,4,301,1,999,1,0,-1.8,93.075,-47.1,1.415,5099.1,0,0,0,0,0,0,0,1,0,0,0,0
56,1,3,0,1,1,1,1,1,223,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
35,1,6,0,1,0,0,2,1,60,3,999,0,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,0,0,0,0,0,0,0
46,1,5,0,1,0,1,8,2,308,1,999,1,0,-0.1,93.2,-42,4.076,5195.8,1,0,0,0,0,0,0,0,0,0,0,0
34,2,4,0,0,0,1,2,2,484,3,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
44,0,5,0,1,0,1,4,4,269,17,999,0,0,1.4,93.918,-42.7,4.963,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
38,2,4,0,0,0,0,2,0,387,1,999,0,0,1.1,93.994,-36.4,4.859,5191,1,0,0,0,0,0,0,0,0,0,0,0
37,1,6,0,1,0,1,8,0,6,5,999,0,0,-0.1,93.2,-42,4.021,5195.8,0,0,0,0,0,0,1,0,0,0,0,0
38,2,5,0,1,0,1,1,2,882,1,6,1,1,-1.8,93.749,-34.6,0.659,5008.7,1,0,0,0,0,0,0,0,0,0,0,0
38,1,7,0,1,1,1,0,2,63,2,999,0,0,-1.8,92.843,-50,1.757,5099.1,0,0,0,0,0,0,0,0,0,1,0,0
44,2,6,0,0,0,1,8,3,152,1,999,0,0,-0.1,93.2,-42,4.153,5195.8,0,0,0,0,1,0,0,0,0,0,0,0
34,1,7,0,1,1,0,2,0,224,3,999,0,0,1.1,93.994,-36.4,4.855,5191,0,0,0,0,0,0,0,0,0,1,0,0
37,1,5,0,1,0,1,1,0,439,2,999,1,0,-1.8,93.075,-47.1,1.479,5099.1,1,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,0,1,1,1,4,764,2,999,0,0,-1.8,93.075,-47.1,1.445,5099.1,1,0,0,0,0,0,0,0,0,0,0,0
33,1,7,0,1,0,1,5,0,229,4,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
28,2,5,0,0,0,1,4,3,431,8,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
43,2,5,0,0,0,1,8,0,298,2,999,0,0,-0.1,93.2,-42,4.021,5195.8,0,0,0,0,0,0,0,1,0,0,0,0
49,1,0,0,1,0,0,3,1,498,1,999,0,0,1.4,94.465,-41.8,4.865,5228.1,0,0,0,0,0,0,0,0,0,0,0,1
36,1,6,0,0,0,1,8,1,84,1,999,0,0,-0.1,93.2,-42,4.191,5195.8,0,0,0,0,1,0,0,0,0,0,0,0
51,0,0,0,0,0,0,3,4,339,2,999,0,0,1.4,94.465,-41.8,4.962,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
43,2,7,0,1,0,0,3,3,209,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
34,2,6,0,1,0,1,4,4,329,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
60,1,5,0,0,0,0,4,0,133,7,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,0,1,0,0,0,0,0,0
38,2,6,0,0,0,1,2,1,190,3,999,0,0,-1.8,92.893,-46.2,1.354,5099.1,1,0,0,0,0,0,0,0,0,0,0,0
34,1,6,0,1,0,1,8,0,312,1,999,0,0,-3.4,92.649,-30.1,0.716,5017.5,0,0,0,0,0,0,0,0,0,1,0,0
40,1,4,0,0,0,0,8,3,40,1,999,0,0,-0.1,93.2,-42,4.153,5195.8,0,0,1,0,0,0,0,0,0,0,0,0
36,1,5,0,1,0,0,2,0,260,3,999,0,0,1.1,93.994,-36.4,4.857,5191,0,0,0,0,0,0,0,1,0,0,0,0
42,1,2,0,0,0,1,1,0,557,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
50,1,3,0,0,0,1,2,3,36,3,999,1,0,-1.8,92.893,-46.2,1.291,5099.1,0,0,0,0,0,0,0,0,0,1,0,0
43,1,4,0,0,1,1,2,1,487,1,3,1,1,-1.8,92.893,-46.2,1.264,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
46,1,2,0,1,0,1,5,3,978,1,999,0,0,1.4,93.444,-36.1,4.966,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
53,1,5,0,1,0,1,4,0,99,7,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,0,1,0,0,0,0,0,0
41,0,6,0,0,0,1,4,1,101,3,999,0,0,-1.7,94.215,-40.3,0.793,4991.6,1,0,0,0,0,0,0,0,0,0,0,0
36,1,4,0,0,0,0,3,4,423,2,999,0,0,1.4,94.465,-41.8,4.864,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
37,0,5,0,0,0,1,8,0,635,1,999,1,0,-0.1,93.2,-42,4.021,5195.8,0,0,0,0,0,0,0,0,0,1,0,0
44,1,7,0,1,0,1,8,3,75,1,999,0,0,-0.1,93.2,-42,4.153,5195.8,0,0,0,0,0,0,0,0,0,1,0,0
32,1,5,0,0,0,0,2,0,129,1,999,0,0,1.1,93.994,-36.4,4.855,5191,1,0,0,0,0,0,0,0,0,0,0,0
34,1,3,0,1,0,0,2,4,175,2,999,0,0,1.1,93.994,-36.4,4.858,5191,0,1,0,0,0,0,0,0,0,0,0,0
32,1,6,0,0,1,1,5,1,331,5,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
47,0,2,0,0,0,1,4,1,357,1,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0,0,0,1,0,0,0,0,0,0,0,0
38,1,6,0,1,0,1,5,1,1070,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
44,1,6,0,0,0,0,2,4,158,2,999,0,0,1.1,93.994,-36.4,4.859,5191,0,0,0,0,1,0,0,0,0,0,0,0
27,2,5,0,1,0,1,4,4,55,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
59,0,4,0,1,0,1,4,4,85,13,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
30,1,6,0,0,0,0,2,3,178,2,999,0,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,0,0,0,0,0,0,0
39,1,6,0,1,0,0,3,2,52,1,999,1,0,-1.7,94.055,-39.8,0.742,4991.6,1,0,0,0,0,0,0,0,0,0,0,0
27,2,7,0,0,0,1,4,1,93,7,999,0,0,1.4,93.918,-42.7,4.96,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
32,1,4,0,1,0,1,4,3,129,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
30,2,6,0,1,0,1,5,0,87,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
61,1,2,0,1,1,1,5,0,69,1,999,1,0,-2.9,92.201,-31.4,0.849,5076.2,0,0,0,0,0,1,0,0,0,0,0,0
73,1,2,0,1,0,1,6,0,158,2,999,0,0,-3.4,92.379,-29.8,0.773,5017.5,0,0,0,0,0,1,0,0,0,0,0,0
51,2,3,0,0,0,1,4,0,484,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0,0,0,0,0,0,0,1,0,0,0,0
52,0,6,0,0,0,0,3,1,184,3,999,0,0,1.4,94.465,-41.8,4.96,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
36,0,7,0,1,0,1,2,2,135,2,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,0,0,0,0,0,0,0,0,0,1,0,0
36,1,7,0,1,0,1,5,0,215,7,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
35,2,4,0,1,0,1,4,2,136,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,0,0,0,1,0,0,0,0
30,2,7,0,1,0,1,5,0,358,2,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
25,2,6,0,1,0,1,4,4,170,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,0,0,0,0,0,0,1,0,0,0,0
39,1,5,0,1,0,1,8,0,197,3,999,0,0,-0.1,93.2,-42,4.021,5195.8,0,0,0,0,0,0,0,1,0,0,0,0
42,1,7,0,1,0,0,3,4,142,17,999,0,0,1.4,94.465,-41.8,4.962,5228.1,0,0,0,0,0,1,0,0,0,0,0,0
35,1,4,0,1,0,0,2,1,118,2,999,0,0,1.1,93.994,-36.4,4.857,5191,0,1,0,0,0,0,0,0,0,0,0,0
47,1,5,0,0,0,0,2,4,465,11,999,0,0,1.1,93.994,-36.4,4.858,5191,1,0,0,0,0,0,0,0,0,0,0,0
28,1,6,0,1,1,1,4,4,329,4,999,0,0,1.4,93.918,-42.7,4.963,5228.1,0,0,0,0,1,0,0,0,0,0,0,0
25,2,5,0,0,0,1,4,3,313,6,999,0,0,1.4,93.918,-42.7,4.961,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
33,2,6,0,1,0,1,4,1,182,1,999,0,0,-1.7,94.215,-40.3,0.793,4991.6,1,0,0,0,0,0,0,0,0,0,0,0
41,1,6,0,1,0,1,5,1,124,4,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
36,1,5,0,1,0,0,2,4,54,1,999,0,0,1.1,93.994,-36.4,4.857,5191,0,0,0,0,0,0,0,1,0,0,0,0
42,1,3,0,0,0,0,4,3,340,1,999,0,0,1.4,93.918,-42.7,4.955,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
36,2,5,0,1,0,0,2,4,212,1,999,0,0,1.1,93.994,-36.4,4.857,5191,0,1,0,0,0,0,0,0,0,0,0,0
29,1,6,0,0,0,1,5,4,183,1,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,0,0,0,0,0,0,0,0,1,0,0
29,2,6,0,1,0,1,8,1,51,2,999,0,0,-0.1,93.2,-42,4.191,5195.8,0,0,0,0,0,0,1,0,0,0,0,0
28,2,5,0,1,0,1,2,3,116,2,999,0,0,-1.8,92.893,-46.2,1.291,5099.1,1,0,0,0,0,0,0,0,0,0,0,0
34,1,5,0,1,0,1,2,4,133,1,999,1,0,-1.8,92.893,-46.2,1.281,5099.1,0,1,0,0,0,0,0,0,0,0,0,0
42,0,4,0,1,1,1,8,1,151,3,999,1,0,-0.1,93.2,-42,4.191,5195.8,0,1,0,0,0,0,0,0,0,0,0,0
41,1,0,0,1,1,1,4,3,97,3,999,0,0,1.4,93.918,-42.7,4.961,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
40,1,3,0,1,0,1,4,1,62,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
42,2,7,0,0,0,1,2,4,531,2,999,0,0,-1.8,92.893,-46.2,1.281,5099.1,0,0,0,0,0,0,0,0,0,1,0,0
