age,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,admin,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown
41,2,6,0,1,0,1,3,3,118,1,999,1,0,-2.9,92.963,-40.8,1.262,5076.2,0,0,0,0,0,0,0,0,0,1,0,0
31,0,5,0,0,1,0,3,0,28,4,999,0,0,1.4,94.465,-41.8,4.959,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
52,1,0,0,0,0,1,5,3,422,1,999,0,0,1.4,93.444,-36.1,4.968,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
29,2,5,0,1,1,1,2,2,10,10,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0,0,0,0,0,0,0,1,0,0,0,0
28,2,7,0,1,0,1,4,3,167,2,6,1,1,-1.7,94.215,-40.3,0.893,4991.6,0,0,0,0,0,0,0,0,0,1,0,0
29,2,6,0,1,0,1,5,4,68,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
52,1,4,0,0,0,0,3,1,291,3,999,0,0,1.4,94.465,-41.8,4.961,5228.1,0,0,1,0,0,0,0,0,0,0,0,0
42,0,6,0,1,0,0,2,1,130,1,999,0,0,1.1,93.994,-36.4,4.857,5191,1,0,0,0,0,0,0,0,0,0,0,0
29,2,5,0,0,0,1,5,0,88,1,999,2,0,-2.9,92.201,-31.4,0.881,5076.2,1,0,0,0,0,0,0,0,0,0,0,0
51,1,6,0,0,0,0,2,4,194,1,999,0,0,1.1,93.994,-36.4,4.856,5191,0,0,0,0,1,0,0,0,0,0,0,0
57,1,2,0,0,1,1,4,0,77,1,999,0,0,1.4,93.918,-42.7,4.962,5228.1,0,1,0,0,0,0,0,0,0,0,0,0
28,1,6,0,0,0,1,4,1,140,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
36,1,6,0,1,0,1,5,2,86,5,999,0,0,1.4,93.444,-36.1,4.962,5228.1,1,0,0,0,0,0,0,0,0,0,0,0
54,1,2,0,0,1,0,2,2,108,1,999,0,0,1.1,93.994,-36.4,4.855,5191,0,0,1,0,0,0,0,0,0,0,0,0
